,TUCASEID,TULINENO,TEAGE,TESEX
0,20140101140007,1,20,2
1,20140101140007,2,19,1
2,20140101140007,3,0,1
3,20140101140011,1,16,2
4,20140101140011,2,33,2
5,20140101140028,1,65,2
6,20140101140028,2,38,1
7,20140101140028,3,36,2
8,20140101140028,5,5,2
9,20140101140028,6,13,1
10,20140101140028,7,2,1
11,20140101140063,1,50,2
12,20140101140168,1,23,2
13,20140101140168,2,8,2
14,20140101140537,1,85,1
15,20140101140537,2,62,1
16,20140101140559,1,27,1
17,20140101140559,2,25,2
18,20140101140559,3,1,2
19,20140101140610,1,28,1
20,20140101140610,2,29,2
21,20140101140610,3,0,2
22,20140101140614,1,63,2
23,20140101140639,1,85,1
24,20140101140665,1,66,2
25,20140101140665,2,66,1
26,20140101140685,1,54,1
27,20140101140685,2,58,1
28,20140101140702,1,31,2
29,20140101140702,2,8,2
30,20140101140702,3,1,1
31,20140101140702,4,0,1
32,20140101140725,1,35,1
33,20140101140725,2,35,2
34,20140101140725,3,1,2
35,20140101140759,1,80,1
36,20140101140759,2,78,2
37,20140101140792,1,37,1
38,20140101140792,2,67,1
39,20140101140804,1,41,2
40,20140101140804,2,41,1
41,20140101140804,3,13,1
42,20140101140804,4,10,1
43,20140101140836,1,85,2
44,20140101140852,1,67,1
45,20140101140854,1,21,2
46,20140101140854,2,63,2
47,20140101140872,1,45,2
48,20140101140872,2,48,1
49,20140101140872,3,21,2
50,20140101140872,4,17,2
51,20140101140872,5,12,1
52,20140101140872,6,9,2
53,20140101140875,1,62,1
54,20140101140875,2,70,2
55,20140101140876,1,67,2
56,20140101140876,2,73,1
57,20140101140885,1,80,2
58,20140101140911,1,61,2
59,20140101140911,2,66,1
60,20140101140940,1,49,1
61,20140101140940,2,49,2
62,20140101140940,3,24,2
63,20140101140940,4,14,2
64,20140101140958,1,26,2
65,20140101140958,2,33,1
66,20140101140958,3,7,1
67,20140101140958,4,0,1
68,20140101140967,1,66,2
69,20140101140973,1,62,1
70,20140101140973,2,52,2
71,20140101140973,3,27,1
72,20140101140973,4,22,2
73,20140101140990,1,61,1
74,20140101140990,2,65,1
75,20140101140995,1,47,1
76,20140101140995,2,38,2
77,20140101141014,1,16,2
78,20140101141014,2,45,1
79,20140101141014,3,43,2
80,20140101141014,4,18,1
81,20140101141014,5,13,2
82,20140101141056,1,74,2
83,20140101141081,1,70,1
84,20140101141134,1,64,1
85,20140101141134,2,63,2
86,20140101141177,1,69,1
87,20140101141179,1,56,2
88,20140101141179,2,80,1
89,20140101141180,1,28,2
90,20140101141214,1,55,2
91,20140101141232,1,66,2
92,20140101141282,1,72,2
93,20140101141288,1,54,1
94,20140101141288,2,14,1
95,20140101141288,3,12,1
96,20140101141321,1,66,1
97,20140101141321,2,64,2
98,20140101141331,1,80,1
99,20140101141365,1,66,1
100,20140101141365,2,64,2
101,20140101141379,1,36,1
102,20140101141379,2,13,2
103,20140101141379,3,10,1
104,20140101141379,4,5,2
105,20140101141381,1,47,2
106,20140101141381,2,62,1
107,20140101141381,3,16,2
108,20140101141386,1,63,2
109,20140101141409,1,18,2
110,20140101141409,2,49,2
111,20140101141409,3,44,1
112,20140101141409,4,11,1
113,20140101141418,1,61,2
114,20140101141418,2,64,1
115,20140101141430,1,79,1
116,20140101141430,2,80,2
117,20140101141449,1,19,2
118,20140101141449,2,59,1
119,20140101141449,3,48,2
120,20140101141449,4,23,2
121,20140101141449,5,21,2
122,20140101141449,6,21,2
123,20140101141488,1,38,2
124,20140101141502,1,75,1
125,20140101141502,2,75,2
126,20140101141515,1,54,2
127,20140101141556,1,49,1
128,20140101141584,1,51,2
129,20140101141584,2,54,1
130,20140101141584,3,16,2
131,20140101141584,4,12,2
132,20140101141589,1,80,2
133,20140101141589,2,80,1
134,20140101141629,1,52,2
135,20140101141629,2,50,1
136,20140101141646,1,33,2
137,20140101141646,2,36,1
138,20140101141646,3,3,1
139,20140101141646,4,1,2
140,20140101141661,1,33,1
141,20140101141661,2,28,2
142,20140101141672,1,24,2
143,20140101141672,2,26,1
144,20140101141687,1,48,1
145,20140101141687,2,46,2
146,20140101141690,1,16,1
147,20140101141690,2,47,1
148,20140101141690,3,42,2
149,20140101141690,4,21,2
150,20140101141690,5,15,1
151,20140101141690,6,74,1
152,20140101141724,1,60,2
153,20140101141777,1,72,2
154,20140101141777,2,71,1
155,20140101141795,1,49,2
156,20140101141795,2,17,2
157,20140101141796,1,38,1
158,20140101141796,2,37,2
159,20140101141796,3,4,1
160,20140101141817,1,69,1
161,20140101141817,2,70,2
162,20140101141837,1,26,1
163,20140101141837,2,24,1
164,20140101141841,1,70,2
165,20140101141860,1,41,1
166,20140101141860,2,17,1
167,20140101141860,3,40,2
168,20140101141863,1,44,2
169,20140101141863,2,9,2
170,20140101141863,3,4,2
171,20140101141897,1,63,2
172,20140101141897,2,61,1
173,20140101141928,1,47,1
174,20140101141928,2,38,2
175,20140101141928,3,13,2
176,20140101142008,1,71,2
177,20140101142020,1,32,2
178,20140101142020,2,8,1
179,20140101142022,1,51,2
180,20140101142022,2,18,2
181,20140101142022,3,14,1
182,20140101142036,1,18,2
183,20140101142036,2,51,1
184,20140101142036,3,41,2
185,20140101142036,4,19,2
186,20140101142036,5,16,1
187,20140101142043,1,41,2
188,20140101142043,2,42,1
189,20140101142048,1,40,2
190,20140101142048,2,41,1
191,20140101142048,3,11,1
192,20140101142048,4,8,1
193,20140101142071,1,20,2
194,20140101142071,2,20,1
195,20140101142108,1,78,2
196,20140101142132,1,40,2
197,20140101142132,2,47,1
198,20140101142132,3,9,2
199,20140101142132,4,6,2
200,20140101142146,1,46,2
201,20140101142146,2,49,1
202,20140101142146,3,21,2
203,20140101142155,1,62,1
204,20140101142155,2,63,2
205,20140101142168,1,53,1
206,20140101142188,1,79,1
207,20140101142188,2,74,2
208,20140101142193,1,67,1
209,20140101142193,2,64,2
210,20140101142205,1,62,2
211,20140101142205,2,67,1
212,20140101142228,1,50,2
213,20140101142228,2,53,1
214,20140101142228,3,28,2
215,20140101142228,4,23,2
216,20140101142228,5,3,1
217,20140101142230,1,47,2
