,TUCASEID,TULINENO,GEDIV,HEFAMINC,HETENURE,HRNUMHOU,PEEDUCA
0,20140101140005,1,6,7,1,2,35
1,20140101140005,2,6,7,1,2,39
2,20140101140007,1,8,1,2,1,39
3,20140101140011,1,2,11,2,2,37
4,20140101140011,2,2,11,2,2,39
5,20140101140026,1,3,11,3,1,43
6,20140101140028,1,7,10,1,6,38
7,20140101140028,2,7,10,1,6,42
8,20140101140028,3,7,10,1,6,43
9,20140101140028,5,7,10,1,6,-1
10,20140101140028,6,7,10,1,6,-1
11,20140101140028,7,7,10,1,6,-1
12,20140101140041,1,5,4,2,5,33
13,20140101140041,2,5,4,2,5,33
14,20140101140041,3,5,4,2,5,33
15,20140101140041,4,5,4,2,5,33
16,20140101140041,5,5,4,2,5,33
17,20140101140059,1,2,5,1,1,34
18,20140101140063,1,5,1,2,1,39
19,20140101140094,1,1,9,2,1,43
20,20140101140096,1,4,7,1,15,34
21,20140101140096,2,4,7,1,15,34
22,20140101140096,3,4,7,1,15,34
23,20140101140096,4,4,7,1,15,34
24,20140101140096,5,4,7,1,15,34
25,20140101140096,6,4,7,1,15,34
26,20140101140096,7,4,7,1,15,-1
27,20140101140096,8,4,7,1,15,-1
28,20140101140096,9,4,7,1,15,-1
29,20140101140096,10,4,7,1,15,-1
30,20140101140096,11,4,7,1,15,-1
31,20140101140096,12,4,7,1,15,-1
32,20140101140096,13,4,7,1,15,-1
33,20140101140096,14,4,7,1,15,-1
34,20140101140096,15,4,7,1,15,-1
35,20140101140115,1,6,3,2,1,39
36,20140101140117,1,3,13,1,4,39
37,20140101140117,2,3,13,1,4,43
38,20140101140117,3,3,13,1,4,36
39,20140101140117,4,3,13,1,4,-1
40,20140101140149,1,8,7,2,1,32
41,20140101140168,1,7,3,2,2,39
42,20140101140168,2,7,3,2,2,-1
43,20140101140172,1,2,4,1,1,42
44,20140101140537,1,5,13,1,2,36
45,20140101140537,2,5,13,1,2,39
46,20140101140559,1,7,11,1,3,43
47,20140101140559,2,7,11,1,3,40
48,20140101140559,3,7,11,1,3,-1
49,20140101140610,1,7,14,1,2,42
50,20140101140610,2,7,14,1,2,44
51,20140101140611,1,5,2,2,1,34
52,20140101140614,1,2,9,2,1,40
53,20140101140639,1,8,15,1,1,44
54,20140101140643,1,9,16,1,2,40
55,20140101140643,2,9,16,1,2,40
56,20140101140665,1,5,13,1,2,39
57,20140101140665,2,5,13,1,2,39
58,20140101140685,1,1,7,1,2,39
59,20140101140685,2,1,7,1,2,39
60,20140101140702,1,7,4,2,3,39
61,20140101140702,2,7,4,2,3,-1
62,20140101140702,3,7,4,2,3,-1
63,20140101140725,1,5,16,1,3,44
64,20140101140725,2,5,16,1,3,46
65,20140101140725,3,5,16,1,3,-1
66,20140101140759,1,7,11,1,2,34
67,20140101140759,2,7,11,1,2,39
68,20140101140792,1,4,9,1,2,40
69,20140101140792,2,4,9,1,2,43
70,20140101140804,1,3,14,1,4,42
71,20140101140804,2,3,14,1,4,42
72,20140101140804,3,3,14,1,4,-1
73,20140101140804,4,3,14,1,4,-1
74,20140101140819,1,5,8,2,4,39
75,20140101140819,2,5,8,2,4,36
76,20140101140819,3,5,8,2,4,36
77,20140101140819,4,5,8,2,4,36
78,20140101140833,1,2,6,2,4,38
79,20140101140833,2,2,6,2,4,33
80,20140101140833,3,2,6,2,4,-1
81,20140101140833,4,2,6,2,4,-1
82,20140101140836,1,3,7,1,1,34
83,20140101140852,1,2,9,1,1,43
84,20140101140854,1,9,6,1,2,40
85,20140101140854,2,9,6,1,2,32
86,20140101140872,1,7,14,1,6,40
87,20140101140872,2,7,14,1,6,41
88,20140101140872,3,7,14,1,6,40
89,20140101140872,4,7,14,1,6,37
90,20140101140872,5,7,14,1,6,-1
91,20140101140872,6,7,14,1,6,-1
92,20140101140875,1,2,13,1,2,43
93,20140101140875,2,2,13,1,2,43
94,20140101140876,1,3,12,1,2,39
95,20140101140876,2,3,12,1,2,39
96,20140101140885,1,5,1,1,1,41
97,20140101140911,1,5,16,1,2,40
98,20140101140911,2,5,16,1,2,41
99,20140101140940,1,5,14,2,4,39
100,20140101140940,2,5,14,2,4,43
101,20140101140940,3,5,14,2,4,40
102,20140101140940,4,5,14,2,4,-1
103,20140101140958,1,5,14,1,3,39
104,20140101140958,2,5,14,1,3,43
105,20140101140958,3,5,14,1,3,-1
106,20140101140967,1,5,8,1,1,43
107,20140101140973,1,5,1,1,4,40
108,20140101140973,2,5,1,1,4,39
109,20140101140973,3,5,1,1,4,43
110,20140101140973,4,5,1,1,4,39
111,20140101140990,1,6,11,1,2,43
112,20140101140990,2,6,11,1,2,44
113,20140101140995,1,1,15,1,2,43
114,20140101140995,2,1,15,1,2,42
115,20140101141014,1,5,15,1,5,36
116,20140101141014,2,5,15,1,5,39
117,20140101141014,3,5,15,1,5,44
118,20140101141014,4,5,15,1,5,40
119,20140101141014,5,5,15,1,5,-1
120,20140101141056,1,6,4,2,1,39
121,20140101141081,1,5,4,2,1,43
122,20140101141088,1,9,14,2,4,40
123,20140101141088,2,9,14,2,4,39
124,20140101141088,3,9,14,2,4,-1
125,20140101141088,4,9,14,2,4,-1
126,20140101141134,1,3,16,1,2,44
127,20140101141134,2,3,16,1,2,43
128,20140101141177,1,7,14,2,1,46
129,20140101141179,1,5,4,1,2,43
130,20140101141179,2,5,4,1,2,43
131,20140101141180,1,1,11,2,1,44
132,20140101141214,1,9,1,1,1,43
133,20140101141231,1,2,8,1,2,39
134,20140101141231,2,2,8,1,2,39
135,20140101141232,1,1,8,1,1,39
136,20140101141282,1,6,4,1,1,39
137,20140101141288,1,7,12,2,1,40
138,20140101141321,1,5,12,1,2,39
139,20140101141321,2,5,12,1,2,42
140,20140101141331,1,1,13,1,1,39
141,20140101141364,1,9,8,1,1,39
142,20140101141365,1,5,12,1,2,43
143,20140101141365,2,5,12,1,2,43
144,20140101141379,1,8,11,2,4,40
145,20140101141379,2,8,11,2,4,-1
146,20140101141379,3,8,11,2,4,-1
147,20140101141379,4,8,11,2,4,-1
148,20140101141381,1,7,16,1,3,43
149,20140101141381,2,7,16,1,3,39
150,20140101141381,3,7,16,1,3,37
151,20140101141386,1,3,12,1,1,43
152,20140101141409,1,2,13,1,4,37
153,20140101141409,2,2,13,1,4,39
154,20140101141409,3,2,13,1,4,39
155,20140101141409,4,2,13,1,4,-1
156,20140101141418,1,4,16,1,2,43
157,20140101141418,2,4,16,1,2,46
158,20140101141430,1,8,8,1,2,42
159,20140101141430,2,8,8,1,2,43
160,20140101141449,1,5,16,1,5,40
161,20140101141449,2,5,16,1,5,40
162,20140101141449,3,5,16,1,5,42
163,20140101141449,4,5,16,1,5,43
164,20140101141449,5,5,16,1,5,40
165,20140101141488,1,9,16,2,1,43
166,20140101141502,1,5,9,1,2,39
